isbn,title,year,author,pages,publisher,genres,tag,price,rating_avg,review_count,cover,link_buy,description
9786043504646,Sách Khoa Học Về Nấu Ăn - The Science Of Cooking,2010,Stuart Farrimond,258.0,Nhà Xuất Bản Thế Giới,"Sách Thường Thức, Sách Nấu ăn","sach-thuong-thuc, sach-nau-an",321500,5.0,72,https://salt.tikicdn.com/cache/280x280/ts/product/15/d4/d5/70ad904b07a46853d61af141185078f5.jpg,https://tiki.vn/sach-khoa-hoc-ve-nau-an-the-science-of-cooking-p86517373.html?spid=91445970,"Nắm bắt các kiến thức khoa học và nấu ăn như một đầu bếp thực thụ!Cùng tìm hiểu xem tại sao ướp thịt qua đêm là không cần thiết, ngâm nước các loại gia vị khô lại giúp gia tăng hương vị, tại sao tốt n..."
9786043534661,Sách Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,2020,Tiffani Bova,358.0,Nhà Xuất Bản Dân Trí,"Sách kinh tế, lãnh đạo","sach-kinh-te, lanh-ao",135800,4.7,87,https://salt.tikicdn.com/cache/280x280/ts/product/f5/66/66/6675e1bd7020ba9658876a87ebe60001.png,https://tiki.vn/sach-dan-dat-mot-bay-soi-hay-chan-mot-dan-cuu-p275406600.html?spid=275406603,"Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu.Thế giới doanh nghiệp ngày nay không chỉ khốc liệt mà còn vô cùng phức tạp, nơi những quyết định sai lầm dễ dàng dẫn đến “thất bại thảm hại”. Điều này lý giải..."
9786043952369,Sách Tâm Lý Học Về Tiền,2004,Morgan Housel,384.0,Nhà Xuất Bản Dân Trí,"Sách kinh tế, Sách tài chính","sach-kinh-te, sach-tai-chinh",131600,4.8,3746,https://salt.tikicdn.com/cache/280x280/ts/product/83/23/b7/14a42ae4f66c9b8b298aaef4b9671442.jpg,https://tiki.vn/sach-tam-ly-hoc-ve-tien-p273819808.html?spid=75953558,"Dịch giả: Hoàng Thị Minh Phúc là dịch giả nổi bật tại Việt Nam, chủ yếu chuyển ngữ các cuốn sách thuộc thể loại tâm lý, tài chính và kỹ năng. Trong đó, cô là người dịch Tâm lý học về tiền (The Psych..."
9786043929934,Sách Đi Tìm Lẽ Sống (Tái Bản ),2007,Viktor Emil Frankl,224.0,Nhà Xuất Bản Tổng hợp TP.HCM,"Sách kỹ năng sống, Sách tư duy","sach-ky-nang-song, sach-tu-duy",70400,4.8,2517,https://salt.tikicdn.com/cache/280x280/ts/product/80/14/8b/61fb657f347d14d9d7bf6fe901001a8e.jpg,https://tiki.vn/sach-di-tim-le-song-tai-ban-p13419678.html?spid=13419679,"Đi Tìm Lẽ Sống.Bạn có bao giờ tự hỏi: điều gì giúp con người sống tiếp, ngay cả khi mọi thứ tưởng chừng đã mất?Giữa nỗi đau khổ, nơi không còn đất diễn cho hy vọng, có thứ duy nhất con người vẫn giữ..."
9786043131471,Sách Honda Soichiro - Thiên Tài Không Bằng Cấp,2008,Bessatsu Takarajima,328.0,Nhà Xuất Bản Thanh Niên,"Sách doanh nhân, Sách kinh tế","sach-doanh-nhan, sach-kinh-te",111200,5.0,5,https://salt.tikicdn.com/cache/280x280/ts/product/0f/55/01/984b73b6460ea6801e29e4ec8e16d276.jpg,https://tiki.vn/sach-honda-soichiro-thien-tai-khong-bang-cap-p205576401.html?spid=205576402,"“Hành trình vươn tới thành công của Honda Soichiro, vị chủ tịch huyền thoại kiêm nhà sáng lập của tập đoàn Honda lừng lẫy toàn thế giới, không hề được trải bước trên hoa hồng, mà được đánh đổi bằng má..."
9786043568584,Bookmark kẹp sách giấy cứng,2013,Không rõ tác giả,187.0,Nhà Xuất Bản Thanh Niên,Sách khác,sach-khac,2000,3.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/52/11/df/fb92e53f0b24bb8566b9207b48ad4cda.jpg,https://tiki.vn/bookmark-kep-sach-giay-cung-p209389165.html?spid=209389166,Bookmark thẻ đánh dấu sách sáng tạo Số lượng: 1 thẻKích thước: 4 * 15cmChất liệu: GiấyTrọng lượng: 65gNăm phát hành : 2021...
9786043122422,Sách Giải mã Hoóc-môn Dopamine,2014,Anna Lembke,348.0,Nhà Xuất Bản Thế Giới,"Sách kỹ năng sống, Sách tư duy","sach-ky-nang-song, sach-tu-duy",152460,4.8,309,https://salt.tikicdn.com/cache/280x280/ts/product/71/9d/f6/034e4969a68181a0f850cdfa24503e0c.jpg,https://tiki.vn/sach-giai-ma-hooc-mon-dopamine-p263070154.html?spid=263070155,GIẢI MÃ HOÓC-MÔN DOPAMIN“Anna Lembke thật sự thấu hiểu trải nghiệm mà tôi thường nghe trong phòng trị liệu – nơi giao thoa giữa những cơn nghiện hiện đại và bản năng nguyên thủy của bộ não con người...
9786043218906,Sách Con Đường Chẳng Mấy Ai Đi,2016,M. Scott Peck,344.0,Nhà Xuất Bản Dân Trí,"Sách kỹ năng sống, Sách tư duy","sach-ky-nang-song, sach-tu-duy",112100,5.0,229,https://salt.tikicdn.com/cache/280x280/ts/product/d4/f6/43/8469d61f7c9a88c07936f8aff14ace7c.jpg,https://tiki.vn/sach-con-duong-chang-may-ai-di-p274363543.html?spid=274363544,Con Đường Chẳng Mấy Ai Đi:Bạn có cảm thấy cuộc sống luôn đặt bạn vào những thử thách không thể né tránh?Bạn khao khát khám phá một con đường thực sự dẫn đến hạnh phúc và bình an bền vững?“Con Đường ...
9786043120701,Sách Tâm Lý Học Về Tiền,2015,Morgan Housel,384.0,Nhà Xuất Bản Dân Trí,"Sách kinh tế, Sách tài chính","sach-kinh-te, sach-tai-chinh",131600,4.8,3746,https://salt.tikicdn.com/cache/280x280/ts/product/83/23/b7/14a42ae4f66c9b8b298aaef4b9671442.jpg,https://tiki.vn/sach-tam-ly-hoc-ve-tien-p273819808.html?spid=75953558,"Dịch giả: Hoàng Thị Minh Phúc là dịch giả nổi bật tại Việt Nam, chủ yếu chuyển ngữ các cuốn sách thuộc thể loại tâm lý, tài chính và kỹ năng. Trong đó, cô là người dịch Tâm lý học về tiền (The Psych..."
9786043412258,Sách Người Đàn Ông Mang Tên Ove (Tái Bản 2022),2019,Fredrik Backman,452.0,NXB Trẻ,"Truyện ngắn, Sách văn học","truyen-ngan, sach-van-hoc",120000,5.0,457,https://salt.tikicdn.com/cache/280x280/ts/product/06/6e/ae/9bcc2a16b8726403b2870ef2e3eeee30.jpg,https://tiki.vn/sach-nguoi-dan-ong-mang-ten-ove-tai-ban-2022-p202879294.html?spid=202879295,Một vài câu nói nổi tiếng của Fredrik Backman:“People don’t change. They just get better at hiding who they really are.”Con người không thay đổi. Họ chỉ ngày càng giỏi hơn trong việc che giấu con ng...
